system,t,prediction,id,description
openstack,t-bug,sw-,2626,lbaa action associ fip show present make sens vip
,,,,
openstack,t-bug,sw-,2625,follow behavior detect swift kilo code chang issu affect versi
,,,,
openstack,t-new,sw-,2624,horizon panel group panel group menu reflect structur panel sourc file detect way group panel packag use
,,,,
openstack,t-bug,sw-,2623,ttp highlight applic catalog murano issu compon
,,,,
openstack,t-bug,sw-,2622,see thing look race host file write dnsmasq dhcp request total get error dnsmasq state address duplic address time look host file replac
,,,,
openstack,t-bug,sw-,2621,region add host get ceilomet listen address start ceilomet api servic get address class hostnam support
,,,,
openstack,t-bug,sw-,2620,fter upgrad essex folsom tri attach volum exist case work tri attach exist volum case result traceback end
,,,,
openstack,t-bug,sw-,2619,creat subnet alloc pool start end
,,,,
openstack,t-new,sw-,2618,folsom min count max count valid valu comput server caus server error throw check need add request throw error fix
,,,,
openstack,t-bug,sw-,2617,hen use rabbit queue order possibl rabbit disk space model happen api hang wait send messa
,,,,
openstack,t-new,sw-,2616,eilomet compon use fill log file error bel
,,,,
openstack,t-bug,sw-,2615,rom horizon user issu action run
,,,,
openstack,t-bug,sw-,2614,look cmd use port
,,,,
openstack,t-bug,sw-,2613,document connect give page configur kernel data
,,,,
openstack,t-bug,sw-,2612,orizon support version unit test fail run follow error
,,,,
openstack,t-bug,sw-,2611,code handl interface make check see interface exist assum exist rest oper contain devic remov time nova agent devic remov time caus exception trigger port oper caus state port side act
,,,,
openstack,t-new,sw-,2610,associ comput admin messag add imag html break
,,,,
openstack,t-bug,sw-,2609,info class encapsul auth attribut expos domain
,,,,
openstack,t-bug,sw-,2608,ith quantum api quantum use network dhcp
,,,,
openstack,t-bug,sw-,2607,replac pod api fail state exist pod duplic replac pod api defin
,,,,
openstack,t-bug,sw-,2606,leas chang problem http configur test group test group run test accord chang commit puppet modul implement http
,,,,
openstack,t-bug,sw-,2605,thread captur snapshot fail trace followi
,,,,
openstack,t-bug,sw-,2604,list volum type http volum
,,,,
openstack,t-bug,sw-,2603,read launch case paragraph http
,,,,
openstack,t-bug,sw-,2602,delet succeed tie server way port associ get delet trigger delet affect nova fail detach port gbp delet
,,,,
openstack,t-new,sw-,2601,eutron featur region add patch http
,,,,
openstack,t-bug,sw-,2600,sing glancecli creat imag imag size contain none valu
,,,,
openstack,t-bug,sw-,2599,problem distribut ajax updat load element use element cache element chang result rais stale element refer excepti
,,,,
openstack,t-bug,sw-,2598,ser volum driver cinder volum driver lvm driver detect driver exist upgrad hava
,,,,
openstack,t-bug,sw-,2597,rom email post mail list
,,,,
openstack,t-bug,sw-,2596,creat server metadata valu meta detail exceed creat request
,,,,
openstack,t-bug,sw-,2595,hen tri creat admin project
,,,,
openstack,t-bug,sw-,2594,hen default design creat tripleo design manag creat default deploy design tarbal directori creat upload swi
,,,,
openstack,t-bug,sw-,2593,bug report dev doc doc sourc glanc
,,,,
openstack,t-new,sw-,2592,dashboard dashboard project contain form import contain tabl function function move contain import form tab
,,,,
openstack,t-bug,sw-,2591,state heat configur default devstack need fix
,,,,
openstack,t-bug,sw-,2590,xen server custom releas includ network
,,,,
openstack,t-bug,sw-,2589,fter instal cinder code appli sync oper volum migrat fail
,,,,
openstack,t-bug,sw-,2588,dvr neutron agent refer exist self issu introduc http
,,,,
openstack,t-bug,sw-,2587,return intern server error advertis comput host
,,,,
openstack,t-bug,sw-,2586,infrastructur instal playbook haproxi becom detail failu
,,,,
openstack,t-bug,sw-,2585,lbaa unit test use form test plugin quantum plugin case class mix make add refer core resourc copi
,,,,
openstack,t-bug,sw-,2584,enter number url tenant becom noth valid tenant invalid topic data display page use user tenant
,,,,
openstack,t-bug,sw-,2583,leav credenti error messag print
,,,,
openstack,t-bug,sw-,2582,meter use client lbaa api ceilomet neutron client work api way visual use correct api
,,,,
openstack,t-bug,sw-,2581,hen run tox time execut fail error state type determin
,,,,
openstack,t-new,sw-,2580,keyston authent user client request respond http bodi contain authent ask
,,,,
openstack,t-bug,sw-,2579,ommit http break abil get client domain scope token tri someth
,,,,
openstack,t-bug,sw-,2578,gateway creat devic param foo
,,,,
openstack,t-bug,sw-,2577,disk miss tombston tri advertis use replica delet fai
,,,,
openstack,t-bug,sw-,2576,rest api return header respons improve api allow client determin resourc chang time client interact client chang send request header allow iron servic prevent updat problem begin use post place support patch requ
,,,,
openstack,t-bug,sw-,2575,test pass reli creat secur group use work
,,,,
openstack,t-bug,sw-,2574,chang gerrit run test
,,,,
openstack,t-bug,sw-,2573,configur option allow servic start worker process
,,,,
openstack,t-bug,sw-,2572,section refer titl develop updat state juno releas featur overview connect admin guid add
,,,,
openstack,t-bug,sw-,2571,problem use zuul cloner access constraint see
,,,,
openstack,t-bug,sw-,2570,client introduc client ident client remov hardcod endpoint type admin
,,,,
openstack,t-bug,sw-,2569,extens lack api sampl
,,,,
openstack,t-new,sw-,2568,support hide router panel
,,,,
openstack,t-bug,sw-,2567,index mail thread http email address hide condit meter metric use doc caus confus fix issu condit meter continu develop document guid open stack
,,,,
openstack,t-bug,sw-,2566,user creat rout router subn
,,,,
openstack,t-bug,sw-,2565,hen get error share creation retri enabl messag aggreg format
,,,,
openstack,t-bug,sw-,2564,fuel miss log report contain server swift object server swift proxi serv
,,,,
openstack,t-bug,sw-,2563,hang driver data sourc driver class support persist advertis data match chang need
,,,,
openstack,t-bug,sw-,2562,list thread detail chang polici enabl user choos specif host launch case
,,,,
openstack,t-new,sw-,2561,leas updat flavor manag section api doc http
,,,,
openstack,t-bug,sw-,2560,vpn servic detail page vpn connect label show valu connect detect propos none display leav user connect detect descript label
,,,,
openstack,t-bug,sw-,2559,hile act boot volum discov end
,,,,
openstack,t-bug,sw-,2558,kilo neutron lbaa bran
,,,,
openstack,t-bug,sw-,2557,hen run fuel noth quit replac
,,,,
openstack,t-bug,sw-,2556,log debug level mean applic log set debug oper vmware backend
,,,,
openstack,t-bug,sw-,2555,mqp host updat comput node add rabbit node
,,,,
openstack,t-new,sw-,2554,imag add method bin glanc state followi
,,,,
openstack,t-bug,sw-,2553,ccord http topolog node set follo
,,,,
openstack,t-bug,sw-,2552,use heat protect
,,,,
openstack,t-bug,sw-,2551,hen fals devstack conf devstack tool script creat fai
,,,,
openstack,t-bug,sw-,2550,hen creat disk partition quit fill
,,,,
openstack,t-bug,sw-,2549,driver report error assign use
,,,,
openstack,t-bug,sw-,2548,eed remov interface field autom test accord http
,,,,
openstack,t-bug,sw-,2547,bunch connect http break use
,,,,
openstack,t-bug,sw-,2546,fter run devstack setup libvirt kvm env fedora comput crash
,,,,
openstack,t-bug,sw-,2545,lanc use shell true glanc test unit test migrat line function
,,,,
openstack,t-bug,sw-,2544,case name foo space end caus error messag
,,,,
openstack,t-bug,sw-,2543,file ref ident api admin method set user enabl document print file swagger tool log http
,,,,
openstack,t-bug,sw-,2542,gener script refer variabl pass system use environ modul packag environ variabl leav gener sampl fail
,,,,
openstack,t-new,sw-,2541,conf ini support secur group enabl secur group
,,,,
openstack,t-bug,sw-,2540,hen messag agent activ bunch provis bunch state error state bunch state stay build state fail act
,,,,
openstack,t-bug,sw-,2539,menu contain right column row action titl requir see everyth break menu measur
,,,,
openstack,t-bug,sw-,2538,suppress messag unit test need investig root caus need chang log level support annoy messag
,,,,
openstack,t-bug,sw-,2537,detect follow error lbaa log creat vip
,,,,
openstack,t-bug,sw-,2536,eilomet becom devstack plugin project use ceilomet jenkin problem ask chang describ
,,,,
openstack,t-bug,sw-,2535,mage member test test fail
,,,,
openstack,t-bug,sw-,2534,python packag init user warn modul deprec assum basi way get client class object detect client
,,,,
openstack,t-new,sw-,2533,write stack end user gui
,,,,
openstack,t-bug,sw-,2532,creat databas outlin describ step step creat databas
,,,,
openstack,t-bug,sw-,2531,exist list gener cisco plug
,,,,
openstack,t-new,sw-,2530,problem see creat provid network neutron configur use edg bunch comput port group get creat edg make sens defin plugin present problem port group look comput bunch launch share network pass
,,,,
openstack,t-bug,sw-,2529,paragraph http instruct aim creat endpoint use variabl tenant
,,,,
openstack,t-bug,sw-,2528,trove method rackspac client rackspac heat engin plugin client work trove resourc
,,,,
openstack,t-bug,sw-,2527,fter increment number node run heat stack
,,,,
openstack,t-bug,sw-,2526,ssl doc horizon haproxi rabbitmq make sens central ssl secur key relat document connect servic doc associ ssl
,,,,
openstack,t-bug,sw-,2525,penstack config use suse configur
,,,,
openstack,t-new,sw-,2524,script upgrad docker contain possibl make tarbal docker contain add releas
,,,,
openstack,t-bug,sw-,2523,default version cinder cinder conf rescu juno includ follow entri match configur entri cinder config
,,,,
openstack,t-bug,sw-,2522,ome output help cli trove manag space end line caus gate manual tox test fail gener fil
,,,,
openstack,t-bug,sw-,2521,call verif network task manag remov verif task
,,,,
openstack,t-bug,sw-,2520,hen app instal stream exception get follo
,,,,
openstack,t-bug,sw-,2519,pend extens wait get pleas review contain merg extens approv
,,,,
openstack,t-bug,sw-,2518,plugin tag deprec juno bug track remov
,,,,
openstack,t-bug,sw-,2517,templat return list contain handl get
,,,,
openstack,t-bug,sw-,2516,hen tri creat volum admin user get excepti
,,,,
openstack,t-bug,sw-,2515,collect featur perform task collect statist fuel infrastructur use collect info resourc code task mix packag nailgun statist complic structur make model reus util code region refactor effort simplifi manag statist creat code coupl logic place move util infrastructur function custom error definit etc
,,,,
openstack,t-bug,sw-,2514,class glanc regist context request context past filter glanc wsgi filter glanc filter keyston middlewar glanc auth keyston context middlewar result error glanc start glanc exception import failur fail import request class caus modul name glanc auth look modul remov http
,,,,
openstack,t-bug,sw-,2513,file make ubuntu distribut
,,,,
openstack,t-new,sw-,2512,support page enter credenti registr form login password chang statist context submit credenti registr
,,,,
openstack,t-new,sw-,2511,etwork api extens level network http
,,,,
openstack,t-bug,sw-,2510,cli user want get event log write issu hardcod
,,,,
openstack,t-bug,sw-,2509,transfer guid miss charact titl page ask packag instal build
,,,,
openstack,t-bug,sw-,2508,volum creat img think copi imag volum fail disk enabl fix stream creat volum imag chang use window creat volum copi imag skip volum creation get driver creat disk base download imag import
,,,,
openstack,t-bug,sw-,2507,issu non attach host attach begin connect branch functi
,,,,
openstack,t-bug,sw-,2506,test linuxbridg plugin follo
,,,,
openstack,t-bug,sw-,2505,use default driver cinder rhel look place includ file moment line get add rhel
,,,,
openstack,t-bug,sw-,2504,list cache dict process run multipl process project switch remov project list
,,,,
openstack,t-new,sw-,2503,type session persist support accord http
,,,,
openstack,t-bug,sw-,2502,volum creat command accept attribut snapshot enabl user creat volum snapshot
,,,,
openstack,t-bug,sw-,2501,ajax use look updat use spin use
,,,,
openstack,t-bug,sw-,2500,ttempt get type fail
,,,,
openstack,t-bug,sw-,2499,ident uri prevent neutron talk nova
,,,,
openstack,t-bug,sw-,2498,agent test result batch failur
,,,,
openstack,t-bug,sw-,2497,hen tri attach volum driver fail return error
,,,,
openstack,t-bug,sw-,2496,see servic deploy servic
,,,,
openstack,t-new,sw-,2495,magnum add requir project add hack need
,,,,
openstack,t-new,sw-,2494,quantum entri http core project
,,,,
openstack,t-bug,sw-,2493,run api doc test integrate notic commit
,,,,
openstack,t-bug,sw-,2492,want add valu header use get header rest client way
,,,,
openstack,t-bug,sw-,2491,exception wrap trace filter traceback call trace oslo sqlalchemi filter file line trace oslo sqlalchemi filter context trace oslo sqlalchemi filter file line execut trace filter argument paramet trace oslo sqlalchemi filter file line trace oslo sqlalchemi filter queri queri arg trace oslo sqlalchemi filter file line trace oslo sqlalchemi filter queri queri self trace oslo sqlalchemi filter file line trace oslo sqlalchemi filter return key val val detail trace oslo sqlalchemi filter file line trace oslo sqlalchemi filter return key val val detail trace oslo sqlalchemi filter file line trace oslo sqlalchemi filter return detail obj map map trace oslo sqlalchemi filter file line detail trace oslo sqlalchemi filter encod map trace oslo sqlalchemi filter file line trace oslo sqlalchemi filter return valu trace oslo sqlalchemi filter file line trace oslo sqlalchemi filter return valu transfer trace oslo sqlalchemi filter attribut error object attribut
,,,,
openstack,t-bug,sw-,2490,use cinder manila talk app store rest
,,,,
openstack,t-bug,sw-,2489,search task puppet log discuss look ceilomet control task caus discuss
,,,,
openstack,t-bug,sw-,2488,secur openstack secur guid sampl creat month review secur guid
,,,,
openstack,t-bug,sw-,2487,bug horizon everyth address close interpret
,,,,
openstack,t-bug,sw-,2486,day need know network map use vlan bridg map use map network bridg bridg map
,,,,
openstack,t-bug,sw-,2485,self case imag connect nova base request context
,,,,
openstack,t-bug,sw-,2484,section partition haproxi configur follo
,,,,
openstack,t-bug,sw-,2483,tool prevent pep run
,,,,
openstack,t-bug,sw-,2482,see error messag window agent log rabbit
,,,,
openstack,t-bug,sw-,2481,secur guid list refer url list end chapter list display version record url connect name display url stale becom
,,,,
openstack,t-bug,sw-,2480,env method extens form document
,,,,
openstack,t-bug,sw-,2479,vmware neutron test unit test nsx plugin test port test delet port network string exception empti
,,,,
openstack,t-bug,sw-,2478,provis set permiss prevent write docker volum lack file flag mount
,,,,
openstack,t-bug,sw-,2477,add code support nova quantum run test code problem run http
,,,,
openstack,t-bug,sw-,2476,server charact tri boot server boot fail obtain dhcp address network neutron configur server name charact hostnam
,,,,
openstack,t-bug,sw-,2475,page http config file name locat cent
,,,,
openstack,t-new,sw-,2474,log messag chang pod detect pod
,,,,
openstack,t-bug,sw-,2473,method count datacent proper
,,,,
openstack,t-bug,hw-,2472,follow instruct http instal sourc document state sudo pip instal requir txt result keyston keyston manag keyston instal
,,,,
openstack,t-bug,sw-,2471,resourc tracker use call use regex search case host tabl caus call make regex need call use affect oper
,,,,
openstack,t-bug,sw-,2470,pleas compar releas mirror iso
,,,,
openstack,t-bug,sw-,2469,liberti releas network tab class miss doc
,,,,
openstack,t-bug,sw-,2468,report cinder get valu cinder servic region servic region
,,,,
openstack,t-bug,sw-,2467,fault data fault name
,,,,
openstack,t-bug,sw-,2466,list endpoint return form
,,,,
openstack,t-bug,sw-,2465,ith process requir sync advertis mileston branch none propos branch creat requir problem fail
,,,,
openstack,t-new,sw-,2464,region api execut align
,,,,
openstack,t-bug,sw-,2463,post sampl api test check messag print json return api verif
,,,,
openstack,t-bug,sw-,2462,nova configur use base log servic run system becom name servic log resolv log record contain name servic binari gener log open stack system use central base log mechan
,,,,
openstack,t-bug,sw-,2461,tri rescu imag kernel ramdisk error show comput
,,,,
openstack,t-bug,sw-,2460,volum ask rule work make set packag
,,,,
openstack,t-bug,sw-,2459,iso open stack juno releas
,,,,
openstack,t-bug,sw-,2458,map place revert name
,,,,
openstack,t-bug,sw-,2457,script interpret section file case file form messag
,,,,
openstack,t-bug,sw-,2456,verif exist break retri comma
,,,,
openstack,t-bug,sw-,2455,test config metadata self sign secur caus error
,,,,
openstack,t-new,sw-,2454,reproduc design conf use databas design pool manag cache examp
,,,,
openstack,t-bug,sw-,2453,keystonecli bunch exception exception region api applic import use exception caus problem work creat librari applic look exception endpoint found rais exception exception import keystonecli exception need get region exception region api propos chang switch keystonecli use exception move exception exception backward compat exception stay renam exception exception exception renam exception backward compat anyth use exception continu work becom renam exception mean becom stop sync exception oslo
,,,,
openstack,t-bug,sw-,2452,type check set user group file directori mode configur file directori
,,,,
openstack,t-bug,sw-,2451,ome quantum plugin need know data creat network port network need know bunch data total port need know data set network
,,,,
openstack,t-bug,sw-,2450,test run glanc master messag stdout annoy connect
,,,,
openstack,t-new,sw-,2449,support extend imag format type support
,,,,
openstack,t-bug,sw-,2448,lock alloc subnet postgresql guarante alloc cidr overlap cidr noth subnet alloc creat subnet
,,,,
openstack,t-bug,sw-,2447,resourc list command execut filter param heat throw server error
,,,,
openstack,t-bug,sw-,2446,detect forc ssl access master
,,,,
openstack,t-bug,sw-,2445,error api ref imag
,,,,
openstack,t-bug,sw-,2444,tempest scenario test creat resourc
,,,,
openstack,t-bug,sw-,2443,tep reproduc log network import murano applic creat murano environ add import applic creat environ deploy environ wait finish deploy environ click delet environ stay page ask result environ delet list result environ delet state list reload
,,,,
openstack,t-bug,sw-,2442,sign need nova keyston
,,,,
openstack,t-bug,sw-,2441,creat snapshot use effort memori
,,,,
openstack,t-bug,sw-,2440,sing ceph backend fail process measur show trace
,,,,
openstack,t-bug,sw-,2439,hile run stack stack make permiss error
,,,,
openstack,t-bug,sw-,2438,ttp implement notif project use
,,,,
openstack,t-bug,sw-,2437,option disabl kernel schedul use support cent
,,,,
openstack,t-bug,sw-,2436,moment problem use allow instal depend version
,,,,
openstack,t-new,sw-,2435,agnum panel regist file use file hori
,,,,
openstack,t-bug,sw-,2434,databas role fail firewal refactor need port open resu
,,,,
openstack,t-bug,sw-,2433,delet pool use flavor error rais user tri
,,,,
openstack,t-bug,sw-,2432,config gener servic neutron agent contain
,,,,
openstack,t-bug,sw-,2431,gener set servic case flavor default valu flavor scope
,,,,
openstack,t-bug,sw-,2430,section request token open stack ident api json data give model request
,,,,
openstack,t-bug,sw-,2429,sing context assign network node creat environ add comput node configur interface public network list need assign comput number interface use network stay place public
,,,,
openstack,t-bug,sw-,2428,fter neutron agent restart namespac dhcp router namespac access command neutron agent contain
,,,,
openstack,t-bug,sw-,2427,notif driver heat conf attribut
,,,,
openstack,t-bug,sw-,2426,right level file document make doc move give
,,,,
openstack,t-bug,sw-,2425,ook hour comput servic messag
,,,,
openstack,t-bug,sw-,2424,sing nova folsom code see exception perform resiz use resiz host
,,,,
openstack,t-bug,sw-,2423,case creat get action work time error return
,,,,
openstack,t-bug,sw-,2422,doc state time measur second valu look second doc code think chang
,,,,
openstack,t-new,sw-,2421,secur guid discuss kvm kernel merg xen associ end
,,,,
openstack,t-bug,sw-,2420,hen lvm second case migrat devstack case disk copi finish comput node delet sourc comput
,,,,
openstack,t-bug,sw-,2419,test make acl swift instal work creat admin user user contain object contain contain object think admin allow user tenant test appli line api call get resu
,,,,
openstack,t-bug,sw-,2418,configur document use hand name plugin set setup config forc admin oper leav class
,,,,
openstack,t-bug,sw-,2417,build gate murano see
,,,,
openstack,t-bug,sw-,2416,resourc info error log messag local transfer
,,,,
openstack,t-bug,sw-,2415,devstack boot deploy ramdisk kernel fedora
,,,,
openstack,t-bug,sw-,2414,think switch object stop work tri error
,,,,
openstack,t-bug,sw-,2413,state updat databas snapshot creat
,,,,
openstack,t-bug,sw-,2412,set interface ring
,,,,
openstack,t-new,sw-,2411,plugin work work multipl paramet allow assign time
,,,,
openstack,t-bug,sw-,2410,follow command execut quantum dhcp agent
,,,,
openstack,t-bug,sw-,2409,hen tri add remov node rackspac stack error
,,,,
openstack,t-bug,sw-,2408,function swagger use includ use destroy system use
,,,,
openstack,t-bug,sw-,2407,return case object older client action case list object see version case list object fill object
,,,,
openstack,t-bug,sw-,2406,detach interface run comput host cast rpc invoc valid comput manag model port pass miss http respons code return user user need look log determin error index noth
,,,,
openstack,t-bug,sw-,2405,tag version look relea
,,,,
openstack,t-bug,sw-,2404,use sampl data script total keyston delet tenant leav admin user tenant connect user tenant membership exi
,,,,
openstack,t-bug,sw-,2403,serial oper test
,,,,
openstack,t-bug,sw-,2402,hen tri instal fuel cpu fuel instal block begin messag state hardwar
,,,,
openstack,t-bug,sw-,2401,continu line hang
,,,,
openstack,t-bug,sw-,2400,error instal machin instal fedora instal default updat guid rpm packag add depend
,,,,
openstack,t-bug,sw-,2399,hen use resourc place leav error
,,,,
openstack,t-bug,sw-,2398,hen copi object use http copi side copi copi metadata associ object includ delet header effect use version object version get
,,,,
openstack,t-bug,sw-,2397,stack upgrad engin check releas uniqu issu
,,,,
openstack,t-bug,sw-,2396,lock dashboard node filter see screen
,,,,
openstack,t-new,sw-,2395,eed essex branch manag
,,,,
openstack,t-bug,sw-,2394,connect issu neutron oper
,,,,
openstack,t-bug,sw-,2393,nce enabl set conf get excepti
,,,,
openstack,t-bug,sw-,2392,hen use ldap ssl self sign secur need option ignor warn accept
,,,,
openstack,t-bug,sw-,2391,attack use site method determin python modul
,,,,
openstack,t-bug,sw-,2390,hang chang get devic
,,,,
openstack,t-bug,sw-,2389,ome map plugin unit test assign region name break behavior config option config overrid see map test run worker run test use region name test fail model test url region
,,,,
openstack,t-bug,sw-,2388,accept scope header get object respons miss commit
,,,,
openstack,t-bug,sw-,2387,option get move servic credenti group hava
,,,,
openstack,t-bug,sw-,2386,support neutron backend overlap detect overlap conflict get exception
,,,,
openstack,t-bug,sw-,2385,mac entri creation fail follow error
,,,,
openstack,t-bug,sw-,2384,use option instal look
,,,,
openstack,t-bug,sw-,2383,hen glanc api replac imag member leav request bodi return intern server error
,,,,
openstack,t-bug,sw-,2382,horizon horizon compon model compon dashboard build compon execut
,,,,
openstack,t-bug,sw-,2381,fuel review page author reset crash exception version featur group
,,,,
openstack,t-bug,sw-,2380,integrate error use mysql back
,,,,
openstack,t-bug,sw-,2379,encount exception caus hypervisor loop end tri retri continu
,,,,
openstack,t-bug,sw-,2378,eed get line python
,,,,
openstack,t-bug,sw-,2377,add problem jenkin problem zuul print commit repo org count region need determin master tag branch make
,,,,
openstack,t-bug,sw-,2376,img absent case role
,,,,
openstack,t-bug,sw-,2375,cloud get throw exception log error api make debug issu
,,,,
openstack,t-bug,sw-,2374,fter master node wizard oper system releas http disabl
,,,,
openstack,t-bug,sw-,2373,network wizard context tab allow use kernel backend glanc
,,,,
openstack,t-new,sw-,2372,fter updat gerrit trigger plugin support plugin break resolv updat plugin
,,,,
openstack,t-bug,sw-,2371,ahara provis vanilla bunch heat engin heat templat error
,,,,
openstack,t-bug,sw-,2370,hypervisor statist report nova hypervisor stat servic run comput node output bel
,,,,
openstack,t-bug,sw-,2369,ure creation gbp lpolici object need implement valid check attribut valu
,,,,
openstack,t-bug,sw-,2368,open stack comput admin manual section manag volum see hyperlink aim index script make volum backup
,,,,
openstack,t-bug,sw-,2367,volum migrat avail zone work user need migrat volum avail zone use
,,,,
openstack,t-bug,sw-,2366,use condit horizon leav review assum refer horizon dashboard compon open sta
,,,,
openstack,t-new,sw-,2365,store kernel driver send provid discoveri volum function provid prob
,,,,
openstack,t-new,sw-,2364,resourc stack method handl found rais
,,,,
openstack,t-bug,sw-,2363,hen creat case api send
,,,,
openstack,t-bug,sw-,2362,fter execut imag file glanc get error messag unset succeed upload imag
,,,,
openstack,t-bug,sw-,2361,token trust base valu chang format token associ trust show list token trust
,,,,
openstack,t-bug,sw-,2360,look heat set set use debug notic self context auth plugin ident endpoin
,,,,
openstack,t-bug,sw-,2359,place nova assert use manner model
,,,,
openstack,t-new,sw-,2358,eport day http comment
,,,,
openstack,t-new,sw-,2357,tep reproduc add line ceilomet http conf run
,,,,
openstack,t-bug,sw-,2356,run task share manag servic capabl run task
,,,,
openstack,t-bug,sw-,2355,hen integ test environ ssl enabl test rais excepti
,,,,
openstack,t-bug,sw-,2354,agnum bay creat name baymodel node
,,,,
openstack,t-bug,sw-,2353,propos mail list upgrad
,,,,
openstack,t-bug,sw-,2352,neutron secur group api chang valu ipv icmp leav creation acl leav fail tie secur group rule por
,,,,
openstack,t-bug,sw-,2351,releas fuelmain sha fuellib sha auth ask api nailgun sha output docker python fuelclient sha astut sha featur group miranti releas fuelmain sha fuellib sha
,,,,
openstack,t-bug,sw-,2350,use reli cento data need creat cent detect tool cent base docker
,,,,
openstack,t-bug,sw-,2349,failur devstack gate prevent test pass index non
,,,,
openstack,t-bug,sw-,2348,test option show catalog default set fact show basi function manifest count fact case block develop http
,,,,
openstack,t-bug,sw-,2347,ith plugin introduc role appli
,,,,
openstack,t-bug,sw-,2346,case wsgi interface sqlite backend creat messag serv
,,,,
openstack,t-bug,sw-,2345,creat snapshot case boot volum second
,,,,
openstack,t-bug,sw-,2344,follow error script connect
,,,,
openstack,t-bug,sw-,2343,hardcod valu allow set user context role defin http
,,,,
openstack,t-new,sw-,2342,keystonecli version releas region openstack essex version adjust
,,,,
openstack,t-bug,sw-,2341,hen trove fail creat secur group default rule case creat action fail perform rollback turn case error state delet entri case case tabl side effect case add build state case tabl chang state user delet
,,,,
openstack,t-bug,sw-,2340,ntegrat test problem test case group file skip set cla
,,,,
openstack,t-bug,sw-,2339,keyston servic creat command allow creation servic type hope accord servic section api documentati
,,,,
openstack,t-bug,sw-,2338,describ avail zone place node zone support avail
,,,,
openstack,t-bug,sw-,2337,ttp group key project solut key hour show test unit test comput comput test case test run case queri mac unit test assum moment run look thing test caus
,,,,
openstack,t-new,sw-,2336,hen object directori file post copi replica tombston file directori leav tombston meta file sourc directori tombston sourc target directori node yield suffix hash caus replica sync
,,,,
openstack,t-bug,sw-,2335,hen chang requir file project requir chang look check branch master bran
,,,,
openstack,t-bug,sw-,2334,rhel clone devstack run fail step remov python packag turn remov python pip packag error
,,,,
openstack,t-bug,sw-,2333,run block migrat test xen server error
,,,,
openstack,t-bug,sw-,2332,http version use provid
,,,,
openstack,t-bug,sw-,2331,execut function relat resourc track iron node make api request iron node scale reduc call
,,,,
openstack,t-bug,sw-,2330,page header block horizon make http
,,,,
openstack,t-bug,sw-,2329,regist script gener config
,,,,
openstack,t-bug,sw-,2328,murano dsvm test fail follow error messa
,,,,
openstack,t-bug,sw-,2327,agent port python need python packag creat environ run test python
,,,,
openstack,t-new,sw-,2326,fuel rest api network backend log log region network backend file log expos user
,,,,
